shortcode,content_form,folder,n_jpg,n_mp4,n_slides,has_frames,n_frames,has_transcript,transcript_nonempty,media_id,caption,comments_count,like_count,media_product_type,media_type,permalink,timestamp,reach,saved,views,total_interactions,comments_downloaded,year,Not_reel,month,dayofweek,hour,ig_pk,owner_username,owner_id,media_type_api,product_type_api,taken_at,has_audio,video_duration,location_name,n_hashtags,n_mentions,music_source,audio_type,song_title,artist,audio_id,audio_cluster_id,music_duration_ms,is_explicit,mashups_allowed,tagged_usernames,tagged_user_ids,n_tagged,coauthors,coauthor_ids,n_coauthors,product_tags,n_product_tags,n_featured_products,sponsor_usernames,is_paid_partnership,features_status
C2zroURtJzi,reel,multimodal_dataset_fixed\reel\C2zroURtJzi,0,1,1,True,30,True,True,18040634950598887,Questa ricetta si intitola: chi ha il pane non ha i denti ma chi ha i denti ce li ha bianchissimi. #adv @colgate.italia #Colgate #ColgateXFantasanremo #ColgateMaxWhite @fantasanremo,102.0,28348.0,REELS,VIDEO,https://www.instagram.com/reel/C2zroURtJzi/,2024-02-01 14:04:07,563063.0,839.0,1135802.0,27635.0,1.0,2024.0,False,2.0,Thursday,14.0,3293167639088897250,camihawke,15526265,2.0,clips,1706796274.0,True,77.57599639892578,,4.0,2.0,original,original_sounds,Original audio,camihawke,346715271541221,18412551949029033,77577.0,False,True,['guglielmoscilla'],['10279523'],1.0,[],[],0.0,[],0.0,0.0,[],False,ok
C3hy4A0NTfZ,reel,multimodal_dataset_fixed\reel\C3hy4A0NTfZ,0,1,1,True,3,True,True,17859655608074296,Ecco a voi i miei due nuovi lip balm DAILY: vi ho fatto una presentazione ufficiale per addetti ai lavori*  Da oggi in preorder sul sito di @we.makeup ❤️  *lavori= limonare,534.0,39048.0,REELS,VIDEO,https://www.instagram.com/reel/C3hy4A0NTfZ/,2024-02-19 12:05:32,469640.0,793.0,993665.0,38793.0,1.0,2024.0,False,2.0,Monday,12.0,3306147352958810073,camihawke,15526265,2.0,clips,1708344314.0,True,87.96600341796875,,0.0,1.0,original,original_sounds,Original audio,camihawke,758091482673844,18411670006019354,87956.0,False,True,['we.makeup'],['2271246143'],1.0,[],[],0.0,[],0.0,0.0,[],False,ok
C3kf_O8tPsJ,reel,multimodal_dataset_fixed\reel\C3kf_O8tPsJ,0,1,1,True,2,True,True,18022418572993666,Tu che amico sei? Vogliamo nomi e cognomi.,1350.0,73169.0,REELS,VIDEO,https://www.instagram.com/reel/C3kf_O8tPsJ/,2024-02-20 13:05:47,1102897.0,2324.0,2066695.0,71263.0,1.0,2024.0,False,2.0,Tuesday,13.0,3306908711216544521,camihawke,15526265,2.0,clips,1708434370.0,True,85.56600189208984,,0.0,0.0,original,original_sounds,Original audio,camihawke,411864237901201,18413701963023269,85565.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C3XcOBjNXPg,reel,multimodal_dataset_fixed\reel\C3XcOBjNXPg,0,1,1,True,13,True,True,18046933291610578,"Vlogghino giorno di prove + pranzo con @toogoodtogo.it , ovviamente nel video volevo dire gettata fra i lupi, non leoni, ma me ne sono accorta troppo tardi, scusa Balto. #febbraioimpattovero #adv",435.0,10572.0,REELS,VIDEO,https://www.instagram.com/reel/C3XcOBjNXPg/,2024-02-15 11:27:24,345523.0,57.0,596261.0,9899.0,1.0,2024.0,False,2.0,Thursday,11.0,3303232960738980832,camihawke,15526265,2.0,clips,1707996158.0,True,88.56600189208984,,2.0,1.0,original,original_sounds,Original audio,camihawke,906690557759138,18412706713005175,88560.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C3z0coWtRSz,reel,multimodal_dataset_fixed\reel\C3z0coWtRSz,0,1,1,True,17,True,True,18020983541044970,Ci siamo! Sono ufficialmente usciti i miei nuovi lip balm DAILY che come vi racconto nelle storie saranno una limited ediscio(n)! Spero vi piacciano❤️ tuttte le info sul sito di @we.makeup,58.0,8120.0,REELS,VIDEO,https://www.instagram.com/reel/C3z0coWtRSz/,2024-02-26 12:02:28,343316.0,268.0,640137.0,8097.0,1.0,2024.0,False,2.0,Monday,12.0,3311220816942011571,camihawke,15526265,2.0,clips,1708948500.0,True,14.812000274658203,,0.0,1.0,licensed,licensed_music,I Will,HAYL,4995736220439610,641375939906019,169310.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C42ky8ZNB8i,reel,multimodal_dataset_fixed\reel\C42ky8ZNB8i,0,1,1,True,5,True,True,17891571830932099,"Questo è il trucco che faccio per andare in scena ogni sera: entro in camerino, chiudo la porta, metto la musica, nell’aria essenza di menta e per 30 minuti cerco di rilassare il corpo e concentrare al meglio la mente.  Non so se sta funzionando, ma è un momento a cui mi sto affezionando molto. Padova ci vediamo stasera! ❤️",360.0,46245.0,REELS,VIDEO,https://www.instagram.com/reel/C42ky8ZNB8i/,2024-03-23 10:11:47,829140.0,1760.0,1757890.0,47028.0,1.0,2024.0,False,3.0,Saturday,10.0,3330010804982652706,camihawke,15526265,2.0,clips,1711188618.0,True,86.88700103759766,,0.0,0.0,licensed,licensed_music,"Oh, Pretty Woman",Pomplamoose,724733261611671,533242160886765,188863.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C4p7m9KNtgz,reel,multimodal_dataset_fixed\reel\C4p7m9KNtgz,0,1,1,True,2,True,True,17919440573792915,"Arrivata a roma, re-incontrato dopo tanto tempo besty che è passato a trovarmi alle prove per calmare l’ansia, è andata cosí:",57.0,18274.0,REELS,VIDEO,https://www.instagram.com/reel/C4p7m9KNtgz/,2024-03-18 12:17:12,379316.0,312.0,787196.0,17898.0,1.0,2024.0,False,3.0,Monday,12.0,3326451961543710771,camihawke,15526265,2.0,clips,1710764107.0,True,58.702999114990234,Teatro Sala Umberto,0.0,0.0,original,original_sounds,Original audio,camihawke,947323506862368,18420775333055550,58676.0,False,True,['guglielmoscilla' 'le_endrigoband'],['10279523' '3125432465'],2.0,[],[],0.0,[],0.0,0.0,[],False,ok
C52-sI7NkRR,reel,multimodal_dataset_fixed\reel\C52-sI7NkRR,0,1,1,True,3,True,True,17978369861672261,"E con questo video chiudiamo la serie “ricordi del tour”.  Come vi ho raccontato nelle storie lo spettacolo era molto lungo e senza intervallo, quindi abbiamo pensato di spezzare il tutto con questo momento gag che ci ha resi complici e uniti nel raccontare un’ evoluzione della musica italiana mai avvenuta. Grazie per aver giocato con me in queste venti date, speriamo di farlo ancora, presto, insieme.  Vi voglio bene, Carla.",2007.0,95110.0,REELS,VIDEO,https://www.instagram.com/reel/C52-sI7NkRR/,2024-04-17 10:23:20,886279.0,3828.0,1918187.0,99157.0,1.0,2024.0,False,4.0,Wednesday,10.0,3348139085120554065,camihawke,15526265,2.0,clips,1713349447.0,True,501.1780090332031,,0.0,0.0,original,original_sounds,Original audio,camihawke,441191065256442,18430316077017528,501178.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C5fzwqWthwl,reel,multimodal_dataset_fixed\reel\C5fzwqWthwl,0,1,1,True,8,True,True,18027361465994409,"Tante domande, nessuna risposta.",1396.0,125728.0,REELS,VIDEO,https://www.instagram.com/reel/C5fzwqWthwl/,2024-04-08 10:25:54,1224010.0,3865.0,2549250.0,118478.0,1.0,2024.0,False,4.0,Monday,10.0,3341617092917337125,camihawke,15526265,2.0,clips,1712571988.0,True,85.66600036621094,,0.0,0.0,licensed,licensed_music,Jump Around,House Of Pain,4759138197455412,583967302019017,214946.0,False,True,['guglielmoscilla'],['10279523'],1.0,['guglielmoscilla'],['10279523'],1.0,[],0.0,0.0,[],False,ok
C5k5-Iot95Z,reel,multimodal_dataset_fixed\reel\C5k5-Iot95Z,0,1,1,True,25,True,True,18040817932746756,"Siamo arrivati alla fine.  Stasera ventesima e ultima data de Il saggio di fine anno, una delle esperienze piú belle e incredibili della mia vita.  Se lo è stata è grazie a voi e alle persone meravigliose che hanno lavorato con me a questo spettacolo.  Vi lascio alcune riprese ricordo che abbiamo filmato al Geox di Padova, stasera invece ci vediamo, per l’ultima volta, al Teatro Nazionale. Non vedo l’ora, spacchiamo tutto. ❤️",192.0,17093.0,REELS,VIDEO,https://www.instagram.com/reel/C5k5-Iot95Z/,2024-04-10 10:04:11,344716.0,235.0,654650.0,17233.0,1.0,2024.0,False,4.0,Wednesday,10.0,3343051781947514457,camihawke,15526265,2.0,clips,1712743483.0,True,81.33300018310547,,0.0,0.0,original,original_sounds,Original audio,camihawke,384989314367314,18336579712116251,81315.0,False,True,"['guglielmoscilla' 'vivoconcerti' 'simounpoulain' 'nickontravel'
 'gianlucacornacchia_' 'showreel_factory' 'le_endrigoband'
 'wordsforyou_pr']","['10279523' '212137953' '364268131' '438746584' '2231704885' '2288459744'
 '3125432465' '9257259570']",8.0,[],[],0.0,[],0.0,0.0,[],False,ok
C5QTk1LN3Xg,reel,multimodal_dataset_fixed\reel\C5QTk1LN3Xg,0,1,1,True,9,True,True,17965829369711281,"Questo week end mi sono riposata, ho dormito, mangiato e dipinto. Ora sono pronta a ripartire con le ultime sette date❤️ Trento ci vediamo stasera!",383.0,64762.0,REELS,VIDEO,https://www.instagram.com/reel/C5QTk1LN3Xg/,2024-04-02 09:55:37,832202.0,691.0,1746925.0,64648.0,1.0,2024.0,False,4.0,Tuesday,9.0,3337253417762911712,camihawke,15526265,2.0,clips,1712051726.0,True,82.84700012207031,,0.0,0.0,licensed,licensed_music,If We Were Vampires,"Jason Isbell and the 400 Unit, Jason Isbell",1195913301736672,2077255529158761,215563.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C6gOYapNx1h,reel,multimodal_dataset_fixed\reel\C6gOYapNx1h,0,1,1,True,4,True,True,18004867967275654,Raga ho dovuto richiamare ma basta col meme del colonnello “non puó piovere per sempre” se no non ne usciamo più pls,370.0,78929.0,REELS,VIDEO,https://www.instagram.com/reel/C6gOYapNx1h/,2024-05-03 10:49:31,883519.0,1512.0,1828091.0,81433.0,1.0,2024.0,False,5.0,Friday,10.0,3359748572545752417,camihawke,15526265,2.0,clips,1714733361.0,True,80.26899719238281,,0.0,0.0,original,original_sounds,Original audio,camihawke,1000655741405651,18320576095127103,80270.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C6JBizOtmy0,reel,multimodal_dataset_fixed\reel\C6JBizOtmy0,0,1,1,True,2,True,True,18046995865656096,Il mondo della danza ringrazia ma preferisce non sapere.,1316.0,161313.0,REELS,VIDEO,https://www.instagram.com/reel/C6JBizOtmy0/,2024-04-24 10:39:16,3484054.0,6050.0,6376765.0,160959.0,1.0,2024.0,False,4.0,Wednesday,10.0,3353218187070434484,camihawke,15526265,2.0,clips,1713955222.0,True,19.933000564575195,,0.0,0.0,licensed,licensed_music,Barbaras Rhabarberbar,"Bodo Wartke, Marti Fischer",613719858088963,798533838753515,85560.0,False,True,['guglielmoscilla'],['10279523'],1.0,['guglielmoscilla'],['10279523'],1.0,[],0.0,0.0,[],False,ok
C6OagBCNWyG,reel,multimodal_dataset_fixed\reel\C6OagBCNWyG,0,1,1,True,9,True,True,18058046635517563,Il multiverso è un concetto di cui sappiamo spaventosamente poco.,273.0,41969.0,REELS,VIDEO,https://www.instagram.com/reel/C6OagBCNWyG/,2024-04-26 12:51:14,564015.0,833.0,1172465.0,41753.0,1.0,2024.0,False,4.0,Friday,12.0,3354735321780939910,camihawke,15526265,2.0,clips,1714135924.0,True,179.9530029296875,,0.0,0.0,original,original_sounds,Original audio,camihawke,974205700405727,18428436625011233,179952.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C71PsAbtP0a,reel,multimodal_dataset_fixed\reel\C71PsAbtP0a,0,1,1,True,6,True,True,17962768433767067,"Haul di cose, perlopiú casuali, prese in Giappone.  Se mi cade la faccia me lo merito",382.0,38096.0,REELS,VIDEO,https://www.instagram.com/reel/C71PsAbtP0a/,2024-06-05 11:18:00,475689.0,2516.0,1228976.0,39302.0,1.0,2024.0,False,6.0,Wednesday,11.0,3383679689858284826,camihawke,15526265,2.0,clips,1717586230.0,True,425.13299560546875,,0.0,0.0,original,original_sounds,Original audio,camihawke,785051327101961,18343177321113278,425132.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C782QPgNGpw,reel,multimodal_dataset_fixed\reel\C782QPgNGpw,0,1,1,True,4,True,True,18023639423230936,Di quando durante il soundcheck del tour siamo stati ammessi al serale.,106.0,16136.0,REELS,VIDEO,https://www.instagram.com/reel/C782QPgNGpw/,2024-06-08 10:09:49,271931.0,193.0,597770.0,15031.0,1.0,2024.0,False,6.0,Saturday,10.0,3385819630545431152,camihawke,15526265,2.0,clips,1717841323.0,True,119.36599731445312,,0.0,0.0,original,original_sounds,Original audio,camihawke,1666820584075270,18414460015069837,119349.0,False,True,['guglielmoscilla'],['10279523'],1.0,[],[],0.0,[],0.0,0.0,[],False,ok
C7Bs3M4tVl3,reel,multimodal_dataset_fixed\reel\C7Bs3M4tVl3,0,1,1,True,2,True,True,17881762311060699,Io dico che i tempi sono maturi: andiamoci a ripigliare tutti i sussidiari del mondo.,973.0,93861.0,REELS,VIDEO,https://www.instagram.com/reel/C7Bs3M4tVl3/,2024-05-16 10:49:08,934347.0,2367.0,1928655.0,96389.0,1.0,2024.0,False,5.0,Thursday,10.0,3369171303703861623,camihawke,15526265,2.0,clips,1715856570.0,True,57.233001708984375,,0.0,0.0,original,original_sounds,Original audio,camihawke,434248239221929,18410035738068523,57212.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C7JvwKVN6UK,reel,multimodal_dataset_fixed\reel\C7JvwKVN6UK,0,1,1,True,55,True,True,18042585079675783,La pasticceria è qualcosa di cui sappiamo ancora spaventosamente poco. @Magnum #TrueToPleasure #LoSteccodOro #ad,100.0,27646.0,REELS,VIDEO,https://www.instagram.com/reel/C7JvwKVN6UK/,2024-05-19 13:51:38,505461.0,712.0,1237141.0,27522.0,1.0,2024.0,False,5.0,Sunday,13.0,3371435813877818634,camihawke,15526265,2.0,clips,1716126631.0,True,89.58100128173828,,3.0,1.0,original,original_sounds,Original audio,camihawke,755984350043066,18436398988000199,89580.0,False,True,['guglielmoscilla'],['10279523'],1.0,['guglielmoscilla'],['10279523'],1.0,[],0.0,0.0,[],False,ok
C7TdA10P1nG,reel,multimodal_dataset_fixed\reel\C7TdA10P1nG,0,1,1,True,14,True,True,17934687725756105,Akasaka non è avadakedavra in Giapponese ma la stazione metro a tema Harry Potter qui a Tokyo.   #harrypotter #akasaka,89.0,34330.0,REELS,VIDEO,https://www.instagram.com/reel/C7TdA10P1nG/,2024-05-23 08:39:51,429095.0,1338.0,948658.0,34778.0,1.0,2024.0,False,5.0,Thursday,8.0,3374168146964339142,camihawke,15526265,2.0,clips,1716453663.0,True,43.566001892089844,"Akasaka, Tokyo",2.0,0.0,original,original_sounds,Original audio,camihawke,1129129191694936,18432506323052777,43536.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C84SE2ot2xO,reel,multimodal_dataset_fixed\reel\C84SE2ot2xO,0,1,1,True,9,True,True,18069751171531854,"Si accettano consigli anime qui sotto!  Sono iniziati i saldi di luglio, vi scrivo i prodotti @we.makeup che ho usato nel video: - Mascara Very nero - mia palette occhi la trovate nella sezione dei miei prodotti - matita labbra EVEN nella colorazione Banana bread - lip balm Daily nella colorazione cheesecake  - blush .. lavori in corso",570.0,22051.0,REELS,VIDEO,https://www.instagram.com/reel/C84SE2ot2xO/,2024-07-01 12:08:15,565668.0,1075.0,1300522.0,23683.0,1.0,2024.0,False,7.0,Monday,12.0,3402549016858684494,camihawke,15526265,2.0,clips,1719835693.0,True,176.76600646972656,,0.0,1.0,original,original_sounds,Original audio,camihawke,875674257709454,18443207557003422,176749.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C8J0cNptVOV,reel,multimodal_dataset_fixed\reel\C8J0cNptVOV,0,1,1,True,19,True,True,18023896700328307,"Abbiamo aspettato un po’ a dirvelo, ma è arrivato il momento: torniamo a teatro, con un nuovo spettacolo, insieme.  Domani, qui, ore 14:00. Siateci🫰🏻",470.0,54971.0,REELS,VIDEO,https://www.instagram.com/reel/C8J0cNptVOV/,2024-06-13 11:02:58,770768.0,704.0,1849091.0,56195.0,1.0,2024.0,False,6.0,Thursday,11.0,3389470831795327893,camihawke,15526265,2.0,clips,1718276648.0,True,56.608001708984375,,0.0,0.0,original,original_sounds,Original audio,camihawke,429163223273127,18346588954112950,56609.0,False,True,['guglielmoscilla'],['10279523'],1.0,['guglielmoscilla'],['10279523'],1.0,[],0.0,0.0,[],False,ok
C8rZOqQNFh2,reel,multimodal_dataset_fixed\reel\C8rZOqQNFh2,0,1,1,True,7,True,True,17864733267154955,Mi sembra che dopo questa analisi professionale delle acque profumate di benessere di @rogergallet in profumologia applicata 3 avrei meritato 30 o sbaglio? Non so perchè non me lo hanno dato!  #rogergallet #happinessfactory #adv,218.0,16326.0,REELS,VIDEO,https://www.instagram.com/reel/C8rZOqQNFh2/,2024-06-26 11:56:51,387626.0,842.0,866058.0,17419.0,1.0,2024.0,False,6.0,Wednesday,11.0,3398921302385645686,camihawke,15526265,2.0,clips,1719403068.0,True,122.30000305175781,,3.0,1.0,original,original_sounds,Original audio,camihawke,1194075171750104,18304513105093181,122298.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
